Study#,DOI,Title,Author,Year,Country,Sample_Size,Male_%,Female_%,White_%,Black_%,Hispanic_%,Asian_%,Other_%,Race_Cats,Has_Sex,Has_Any_Race,Has_All_5_Race,Design,Quality_Score,Data_Source
20,10.1016/j.diabres.2023.110720,Gaps in glucagon fills among commercially insured patients receiving a glucagon prescription,Joseph R. Herges; Jordan D. Haag; Kimberly A. Kosloski Tarpenning; Kristin C. Mara; Rozalina G. McCoy,2023,CHE,216,34.0,34.5,67.0,,4.0,2.0,,3,1,1,0,Other,100.0,PMC Full-text
21,10.2337/dc23-1564,Disparities in Continuous Glucose Monitor Use Between Children With Type 1 Diabetes Living in Urban and Rural Areas.,Daniel R. Tilden; Benjamin French; Karishma A. Datye; Sarah S. Jaser,2024,Unknown,2008,,,,,,,,0,0,0,0,Other,40.0,PubMed Abstract
22,10.1001/jamanetworkopen.2021.6139,"Association of Race/Ethnicity, Gender, and Socioeconomic Status With Sodium-Glucose Cotransporter 2 Inhibitor Use Among Patients With Diabetes in the US",Lauren A. Eberly; Lin Yang; Nwamaka D. Eneanya; Utibe Essien; Howard Julien,2021,Unknown,542,48.5,0.82,1.0,1.0,,2.0,,3,1,1,0,Other,90.0,PMC Full-text
23,10.1001/jamahealthforum.2021.4182,"Racial, Ethnic, and Socioeconomic Inequities in Glucagon-Like Peptide-1 Receptor Agonist Use Among Patients With Diabetes in the US",Lauren A. Eberly; Lin Yang; Utibe R. Essien; Nwamaka D. Eneanya; Howard M. Julien,2021,Unknown,292,49.7,1.15,1.0,1.0,1.0,1.0,,4,1,1,0,Other,90.0,PMC Full-text
24,10.1001/jamanetworkopen.2023.16290,Association of Prescription Co-payment With Adherence to Glucagon-Like Peptide-1 Receptor Agonist and Sodium-Glucose Cotransporter-2 Inhibitor Therapies in Patients With Heart Failure and Diabetes,Utibe R. Essien; Balvindar Singh; Gretchen Swabe; Amber E. Johnson; Lauren A. Eberly,2023,POL,7356,37.1,62.9,15.0,23.0,18.8,2.5,,4,1,1,0,Other,100.0,PMC Full-text
25,10.1002/oby.23869,“Use and Continuity of Weight-modifying Medications among Adults with Diabetes and Overweight/Obesity: U.S. population study”,Rodolfo J. Galindo; Tegveer S. Uppal; Rozalina G. McCoy; Guillermo E. Umpierrez; Mohammed K. Ali,2023,ITA,7402,50.0,52.3,64.7,17.7,,5.3,,3,1,1,0,Other,100.0,PMC Full-text
26,10.1001/jamanetworkopen.2022.50602,Evaluation of High-Deductible Health Plans and Acute Glycemic Complications Among Adults With Diabetes,David H. Jiang; Jeph Herrin; Holly K. Van Houten; Rozalina G. McCoy,2023,CHE,752,53.3,46.7,26.0,29.0,26.0,11.0,,4,1,1,0,Other,100.0,PMC Full-text
27,10.1001/jamanetworkopen.2024.3394,Enrollment in High-Deductible Health Plans and Incident Diabetes Complications,Rozalina G. McCoy; Kavya S. Swarna; David H. Jiang; Holly K. Van Houten; Jie Chen,2024,POL,828,1.29,44.3,26.0,29.0,26.0,11.0,,4,1,1,0,Other,100.0,PMC Full-text
28,10.2337/dc21-1885,Association Between High-Deductible Health Plans and Engagement in Routine Medical Care for Type 2 Diabetes in a Privately Insured Population: A Propensity Score-Matched Study.,You M. Wu; Jie Huang; Mary E. Reed,2022,Unknown,6801,,,,,,,,0,0,0,0,Other,40.0,PubMed Abstract
29,10.1001/jamaophthalmol.2018.6909,Estimates of the Percentage of US Adults With Diabetes Who Could Be Screened for Diabetic Retinopathy in Primary Care Settings.,Diane M. Gibson,2019,COL,3229,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
30,10.2337/cd23-0060,Increasing Social Determinants of Health Screening Rates Among Six Endocrinology Centers Across the United States: Results From the T1D Exchange Quality Improvement Collaborative,Ori Odugbesan; Trevon Wright; Nana-Hawa Yayah Jones; Selorm Dei-Tutu; Mary Pat Gallagher,2024,ITA,17917,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
31,10.2337/dc24-0086,Access to Diabetes Care Should Be a Universal Right for People With Type 1 Diabetes: Lessons Learned From the Norwegian Childhood Diabetes Registry.,Heiko Bratke; Eva Biringer; Anastasia Ushakova; Hanna D. Margeirsdottir; Siv Janne Kummernes,2024,ITA,12640,,46.0,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
32,10.2337/dci20-0053,Metabolic Syndrome and COVID-19 Mortality Among Adult Black Patients in New Orleans,Felicia Hill-Briggs; Nancy E. Adler; Seth A. Berkowitz; Marshall H. Chin; Tiffany L. Gary-Webb,2021,FRA,770000,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
33,10.1001/jamanetworkopen.2023.36307,Racial and Ethnic Disparities in Glycemic Control Among Insured US Adults,Nora I. Zakaria; Parisa Tehranifar; Blandine Laferrère; Sandra S. Albrecht,2023,COL,575,49.5,50.5,,,,,,0,1,0,0,Other,70.0,PubMed Abstract
34,10.1377/hlthaff.2022.00236,"Nonmedical Interventions For Type 2 Diabetes: Evidence, Actionable Strategies, And Policy Opportunities",Leonard E. Egede; Rebekah J. Walker; Sebastian Linde; Jennifer A. Campbell; Aprill Z. Dawson,2022,GBR,4498,,,,,,,,0,0,0,0,Other,50.0,PubMed Abstract
35,10.1089/dia.2022.0042,Implicit Racial–Ethnic and Insurance-Mediated Bias to Recommending Diabetes Technology: Insights from T1D Exchange Multicenter Pediatric and Adult Diabetes Provider Cohort,Ori Odugbesan; Ananta Addala; Grace Nelson; Rachel Hopkins; Kristina Cossen,2022,USA,1415,,60.0,51.0,5.0,5.0,,,3,0,1,0,Cohort,80.0,PMC Full-text
